,ID,Name,SKU,Is featured?,Tax status,Tax class,Published,Visibility in catalog,Weight (kg),Sale price,Regular price,Short description,description,Categories,Tags,Images,Position,Attribute 1 name,Attribute 1 value(s)
10,7174706200651,Women's Tree Gliders - Deep Navy (Blizzard Sole),womens-tree-gliders-deep-navy,0,shipping,standard,1,visible,259.86394557823127,150.00,,This is a simple product.,"<p>Whether it’s workouts or hangouts, the Tree Glider has every phase of your day covered. Inspired by effortless ease, this elevated active style brings flow everywhere you go.</p>",Shoes,"['allbirds::carbon-score => 4.19', 'allbirds::cfId => color-womens-tree-gliders-deep-navy-blizzard', 'allbirds::complete => true', 'allbirds::edition => classic', 'allbirds::gender => womens', 'allbirds::hue => blue', 'allbirds::master => womens-tree-gliders', 'allbirds::material => tree', 'allbirds::price-tier => msrp', 'allbirds::silhouette => dasher', 'loop::returnable => true', 'YCRF_womens-perform-shoes', 'YGroup_ygroup_womens-tree-gliders']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11076_24Q4_Tree_Glider_Deep_Navy_Blizzard_PDP_SINGLE_3Q-2000x2000_c883775e-af31-4d3a-acc2-3681ec52acd4.png?v=1731710551,1,Size,"['EU 35', 'EU 35.5', 'EU 36', 'EU 36.5', 'EU 37', 'EU 37.5', 'EU 38', 'EU 38.5', 'EU 39', 'EU 39.5', 'EU 40', 'EU 40.5', 'EU 41']"
11,7174795853899,Women's Tree Gliders - Chromatic Blizzard (Blizzard Sole),womens-tree-gliders-blizzard-chromatic,0,shipping,standard,1,visible,259.86394557823127,150.00,,This is a simple product.,"<p>Whether it’s workouts or hangouts, the Tree Glider has every phase of your day covered. Inspired by effortless ease, this elevated active style brings flow everywhere you go.</p>",Shoes,"['allbirds::carbon-score => 4.19', 'allbirds::cfId => color-womens-tree-gliders-blizzard-multi-blzzrd', 'allbirds::complete => true', 'allbirds::edition => limited', 'allbirds::gender => womens', 'allbirds::hue => white', 'allbirds::master => womens-tree-gliders', 'allbirds::material => tree', 'allbirds::price-tier => msrp', 'allbirds::silhouette => dasher', 'loop::returnable => true', 'YCRF_womens-perform-shoes', 'YGroup_ygroup_womens-tree-gliders']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11058_24Q4_Tree_Glider_Chromatic_Blizzard_Multi_Blizzard_PDP_SINGLE_3Q-1000x1000.png?v=1731710533,1,Size,"['EU 35', 'EU 35.5', 'EU 36', 'EU 36.5', 'EU 37', 'EU 37.5', 'EU 38', 'EU 38.5', 'EU 39', 'EU 39.5', 'EU 40', 'EU 40.5', 'EU 41']"
12,7231235883083,Men's Runner-Up Protect - Natural Black (Natural Black Sole),mens-runner-up-protect,0,shipping,standard,1,visible,382.312925170068,160.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 8.51', 'allbirds::cfId => color-mens-runner-up-protect-ntrl-blck-ntrl-blck', 'allbirds::complete => true', 'allbirds::edition => classic', 'allbirds::gender => mens', 'allbirds::hue => black', 'allbirds::master => mens-runner-up-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner up', 'loop::returnable => true', 'YCRF_mens-move-shoes-half-sizes', 'YGroup_ygroup_mens-runner-up-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11024_24Q4_Runner_Up_Protect_Natural_Black_Natural_Black_PDP_SINGLE_3Q-1000x1000.png?v=1730755213,1,Size,"['EU 41', 'EU 41.5', 'EU 42', 'EU 42.5', 'EU 43', 'EU 43.5', 'EU 44', 'EU 44.5', 'EU 45', 'EU 45.5', 'EU 46', 'EU 46.5', 'EU 47']"
13,7231441666123,Women's Runner-Up Protect - Stony Beige (Rugged Beige Sole),womens-runner-up-protect-stony-beige,0,shipping,standard,1,visible,333.78684807256235,160.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 8.51', 'allbirds::cfId => color-womens-runner-up-protect-stony-beige-rugged-bg', 'allbirds::complete => true', 'allbirds::edition => limited', 'allbirds::gender => womens', 'allbirds::hue => beige', 'allbirds::master => womens-runner-up-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner up', 'loop::returnable => true', 'YCRF_womens-move-shoes-half-sizes', 'YGroup_ygroup_womens-runner-up-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11026_24Q4_Runner_Up_Protect_Stony_Beige_Rugged_Beige_PDP_SINGLE_3Q-1000x1000_2d53f0dd-f276-4cc7-b654-ad7c4fadee92.png?v=1730755252,1,Size,"['EU 35', 'EU 35.5', 'EU 36', 'EU 36.5', 'EU 37', 'EU 37.5', 'EU 38', 'EU 38.5', 'EU 39', 'EU 39.5', 'EU 40', 'EU 40.5', 'EU 41']"
14,7233793785931,Men's Runner-Up Protect - Stony Beige (Rugged Beige Sole),mens-runner-up-protect-stony-beige,0,shipping,standard,1,visible,382.312925170068,160.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 8.51', 'allbirds::cfId => color-mens-runner-up-protect-stony-beige-rugged-bg', 'allbirds::complete => true', 'allbirds::edition => limited', 'allbirds::gender => mens', 'allbirds::hue => beige', 'allbirds::master => mens-runner-up-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner up', 'loop::returnable => true', 'YCRF_mens-move-shoes-half-sizes', 'YGroup_ygroup_mens-runner-up-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11026_24Q4_Runner_Up_Protect_Stony_Beige_Rugged_Beige_PDP_SINGLE_3Q-1000x1000.png?v=1730755214,1,Size,"['EU 41', 'EU 41.5', 'EU 42', 'EU 42.5', 'EU 43', 'EU 43.5', 'EU 44', 'EU 44.5', 'EU 45', 'EU 45.5', 'EU 46', 'EU 46.5', 'EU 47']"
15,7231194529867,Women's Runner-Up Protect - Natural Black (Natural Black Sole),womens-runner-up-protect,0,shipping,standard,1,visible,333.78684807256235,160.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 8.51', 'allbirds::cfId => color-womens-runner-up-protect-ntrl-blck-ntrl-blck', 'allbirds::complete => true', 'allbirds::edition => classic', 'allbirds::gender => womens', 'allbirds::hue => black', 'allbirds::master => womens-runner-up-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner up', 'loop::returnable => true', 'YCRF_womens-move-shoes-half-sizes', 'YGroup_ygroup_womens-runner-up-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11024_24Q4_Runner_Up_Protect_Natural_Black_Natural_Black_PDP_SINGLE_3Q-1000x1000_fc314046-5345-4faf-ae68-b5c47f303878.png?v=1730755252,1,Size,"['EU 35', 'EU 35.5', 'EU 36', 'EU 36.5', 'EU 37', 'EU 37.5', 'EU 38', 'EU 38.5', 'EU 39', 'EU 39.5', 'EU 40', 'EU 40.5', 'EU 41']"
16,7232607387723,Men's Runner Protect - Natural Black (Natural White Sole),mens-runner-protect-natural-black-natural-white,0,shipping,standard,1,visible,385.03401360544217,145.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 7.64', 'allbirds::cfId => color-mens-runner-protect-ntrl-blck-ntrl-wht', 'allbirds::complete => true', 'allbirds::edition => classic', 'allbirds::gender => mens', 'allbirds::hue => black', 'allbirds::master => mens-runner-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner', 'loop::returnable => true', 'YCRF_mens-move-shoes-half-sizes', 'YGroup_ygroup_mens-runner-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A10998_24Q4_Runner_Protect_Natural_Black_Natural_White_PDP_SINGLE_3Q-1000x1000.png?v=1730755111,1,Size,"['EU 41', 'EU 41.5', 'EU 42', 'EU 42.5', 'EU 43', 'EU 43.5', 'EU 44', 'EU 44.5', 'EU 45', 'EU 45.5', 'EU 46', 'EU 46.5', 'EU 47']"
17,7233776943179,Men's Runner Protect - Stony Beige (Rugged Beige Sole),mens-runner-protect-stony-beige,0,shipping,standard,1,visible,385.03401360544217,145.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 7.64', 'allbirds::cfId => color-mens-runner-protect-stony-beige-rugged-bg', 'allbirds::complete => true', 'allbirds::edition => limited', 'allbirds::gender => mens', 'allbirds::hue => beige', 'allbirds::master => mens-runner-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner', 'loop::returnable => true', 'YCRF_mens-move-shoes-half-sizes', 'YGroup_ygroup_mens-runner-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11001_24Q4_Runner_Protect_Stony_Beige_Rugged_Beige_PDP_SINGLE_3Q-1000x1000.png?v=1730755110,1,Size,"['EU 41', 'EU 41.5', 'EU 42', 'EU 42.5', 'EU 43', 'EU 43.5', 'EU 44', 'EU 44.5', 'EU 45', 'EU 45.5', 'EU 46', 'EU 46.5', 'EU 47']"
18,7232604373067,Men's Runner Protect - Natural Black (Natural Black Sole),mens-runner-protect,0,shipping,standard,1,visible,385.03401360544217,145.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 7.64', 'allbirds::cfId => color-mens-runner-protect-ntrl-blck-ntrl-blck', 'allbirds::complete => true', 'allbirds::edition => classic', 'allbirds::gender => mens', 'allbirds::hue => black', 'allbirds::master => mens-runner-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner', 'loop::returnable => true', 'YCRF_mens-move-shoes-half-sizes', 'YGroup_ygroup_mens-runner-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11194_24Q4_Runner_Protect_Natural_Black_Natural_Black_PDP_SINGLE_3Q-1000x1000.png?v=1730755110,1,Size,"['EU 41', 'EU 41.5', 'EU 42', 'EU 42.5', 'EU 43', 'EU 43.5', 'EU 44', 'EU 44.5', 'EU 45', 'EU 45.5', 'EU 46', 'EU 46.5', 'EU 47']"
19,7233781170251,Women's Runner Protect - Natural Black (Natural Black Sole),womens-runner-protect,0,shipping,standard,1,visible,320.1814058956916,145.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 7.64', 'allbirds::cfId => color-womens-runner-protect-ntrl-blck-ntrl-blck', 'allbirds::complete => true', 'allbirds::edition => classic', 'allbirds::gender => womens', 'allbirds::hue => black', 'allbirds::master => womens-runner-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner', 'loop::returnable => true', 'YCRF_womens-move-shoes-half-sizes', 'YGroup_ygroup_womens-runner-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11194_24Q4_Runner_Protect_Natural_Black_Natural_Black_PDP_SINGLE_3Q-1000x1000_344da4d5-5ec2-4602-96ab-41e1962351b7.png?v=1730755422,1,Size,"['EU 35', 'EU 35.5', 'EU 36', 'EU 36.5', 'EU 37', 'EU 37.5', 'EU 38', 'EU 38.5', 'EU 39', 'EU 39.5', 'EU 40', 'EU 40.5', 'EU 41']"
20,7233785331787,Women's Runner Protect - Natural Black (Natural White Sole),womens-runner-protect-natural-black-natural-white,0,shipping,standard,1,visible,320.1814058956916,145.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 7.64', 'allbirds::cfId => color-womens-runner-protect-ntrl-blck-ntrl-wht', 'allbirds::complete => true', 'allbirds::edition => classic', 'allbirds::gender => womens', 'allbirds::hue => black', 'allbirds::master => womens-runner-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner', 'loop::returnable => true', 'YCRF_womens-move-shoes-half-sizes', 'YGroup_ygroup_womens-runner-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A10998_24Q4_Runner_Protect_Natural_Black_Natural_White_PDP_SINGLE_3Q-1000x1000_a01ec6c8-5c1e-4d32-b5f0-fcbc36355e16.png?v=1730755435,1,Size,"['EU 35', 'EU 35.5', 'EU 36', 'EU 36.5', 'EU 37', 'EU 37.5', 'EU 38', 'EU 38.5', 'EU 39', 'EU 39.5', 'EU 40', 'EU 40.5', 'EU 41']"
21,7233789591627,Women's Runner Protect - Stony Beige (Rugged Beige Sole),womens-runner-protect-stony-beige,0,shipping,standard,1,visible,320.1814058956916,145.00,,This is a simple product.,<p> </p>,Shoes,"['allbirds::carbon-score => 7.64', 'allbirds::cfId => color-womens-runner-protect-stony-beige-rugged-bg', 'allbirds::complete => true', 'allbirds::edition => limited', 'allbirds::gender => womens', 'allbirds::hue => beige', 'allbirds::master => womens-runner-protect', 'allbirds::material => wool', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner', 'loop::returnable => true', 'YCRF_womens-move-shoes-half-sizes', 'YGroup_ygroup_womens-runner-protect']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A11001_24Q4_Runner_Protect_Stony_Beige_Rugged_Beige_PDP_SINGLE_3Q-1000x1000_1d4b4722-1e49-4a55-b231-68a9202c45cb.png?v=1730755138,1,Size,"['EU 35', 'EU 35.5', 'EU 36', 'EU 36.5', 'EU 37', 'EU 37.5', 'EU 38', 'EU 38.5', 'EU 39', 'EU 39.5', 'EU 40', 'EU 40.5', 'EU 41']"
22,7231217369163,Men's Wool Runner Go - Fluff - Natural White (Natural White Sole),mens-wool-runner-go-fluff,0,shipping,standard,1,visible,355.1020408163265,135.00,,This is a simple product.,<p> Fluffy merino wool blend adds a cozy warm feel (and cold-weather style) to our bestselling sneaker.</p>,Shoes,"['allbirds::carbon-score => 6.85', 'allbirds::cfId => color-mens-wool-runner-go-fluff-ntrl-wht-ntrl-wht', 'allbirds::complete => true', 'allbirds::edition => limited', 'allbirds::gender => mens', 'allbirds::hue => white', 'allbirds::master => mens-wool-runner-go-fluff', 'allbirds::material => fluff-collection', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner', 'loop::returnable => true', 'YCRF_mens-move-shoes-half-sizes', 'YGroup_ygroup_mens-wool-runner-go-fluff']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A10985_24Q4_Wool_Runner_2_Fluff_Natural_White_Natural_White_PDP_SINGLE_3Q-1000x1000_570b0f71-5a24-4784-af64-765071575cdc.png?v=1730139016,1,Size,"['EU 41', 'EU 41.5', 'EU 42', 'EU 42.5', 'EU 43', 'EU 43.5', 'EU 44', 'EU 44.5', 'EU 45', 'EU 45.5', 'EU 46', 'EU 46.5', 'EU 47']"
23,7244212568139,Women's Wool Runner Go - Fluff - Natural White (Natural White Sole),womens-wool-runner-go-fluff,0,shipping,standard,1,visible,259.41043083900223,135.00,,This is a simple product.,<p> Fluffy merino wool blend adds a cozy warm feel (and cold-weather style) to our bestselling sneaker.</p>,Shoes,"['allbirds::carbon-score => 6.85', 'allbirds::cfId => color-womens-wool-runner-go-fluff-ntrl-wht-ntrl-wht', 'allbirds::complete => true', 'allbirds::edition => limited', 'allbirds::gender => womens', 'allbirds::hue => white', 'allbirds::master => womens-wool-runner-go-fluff', 'allbirds::material => fluff-collection', 'allbirds::price-tier => msrp', 'allbirds::silhouette => runner', 'loop::returnable => true', 'YCRF_womens-move-shoes-half-sizes', 'YGroup_ygroup_womens-wool-runner-go-fluff']",https://cdn.shopify.com/s/files/1/0204/0483/0283/files/A10985_24Q4_Wool_Runner_2_Fluff_Natural_White_Natural_White_PDP_SINGLE_3Q-1000x1000.png?v=1729718728,1,Size,"['EU 35', 'EU 35.5', 'EU 36', 'EU 36.5', 'EU 37', 'EU 37.5', 'EU 38', 'EU 38.5', 'EU 39', 'EU 39.5', 'EU 40', 'EU 40.5', 'EU 41']"
